tag,name,flag,flag_square,flag_round
Malawi,Malawi,https//cdn.countryflags.com/thumbs/malawi/flag-400.png,https//cdn.countryflags.com/thumbs/malawi/flag-square-250.png,https//cdn.countryflags.com/thumbs/malawi/flag-round-250.png
Senegal,Senegal,https//cdn.countryflags.com/thumbs/senegal/flag-400.png,https//cdn.countryflags.com/thumbs/senegal/flag-square-250.png,https//cdn.countryflags.com/thumbs/senegal/flag-round-250.png
Zambia,Zambia,https//cdn.countryflags.com/thumbs/zambia/flag-400.png,https//cdn.countryflags.com/thumbs/zambia/flag-square-250.png,https//cdn.countryflags.com/thumbs/zambia/flag-round-250.png
Barbados,Barbados,https//cdn.countryflags.com/thumbs/barbados/flag-400.png,https//cdn.countryflags.com/thumbs/barbados/flag-square-250.png,https//cdn.countryflags.com/thumbs/barbados/flag-round-250.png
India,India,https//cdn.countryflags.com/thumbs/india/flag-400.png,https//cdn.countryflags.com/thumbs/india/flag-square-250.png,https//cdn.countryflags.com/thumbs/india/flag-round-250.png
Vatican_City,Vatican City,https//cdn.countryflags.com/thumbs/vatican-city/flag-400.png,https//cdn.countryflags.com/thumbs/vatican-city/flag-square-250.png,https//cdn.countryflags.com/thumbs/vatican-city/flag-round-250.png
Romania,Romania,https//cdn.countryflags.com/thumbs/romania/flag-400.png,https//cdn.countryflags.com/thumbs/romania/flag-square-250.png,https//cdn.countryflags.com/thumbs/romania/flag-round-250.png
Belgium,Belgium,https//cdn.countryflags.com/thumbs/belgium/flag-400.png,https//cdn.countryflags.com/thumbs/belgium/flag-square-250.png,https//cdn.countryflags.com/thumbs/belgium/flag-round-250.png
Saudi_Arabia,Saudi Arabia,https//cdn.countryflags.com/thumbs/saudi-arabia/flag-400.png,https//cdn.countryflags.com/thumbs/saudi-arabia/flag-square-250.png,https//cdn.countryflags.com/thumbs/saudi-arabia/flag-round-250.png
New_Zealand,New Zealand,https//cdn.countryflags.com/thumbs/new-zealand/flag-400.png,https//cdn.countryflags.com/thumbs/new-zealand/flag-square-250.png,https//cdn.countryflags.com/thumbs/new-zealand/flag-round-250.png
Kuwait,Kuwait,https//cdn.countryflags.com/thumbs/kuwait/flag-400.png,https//cdn.countryflags.com/thumbs/kuwait/flag-square-250.png,https//cdn.countryflags.com/thumbs/kuwait/flag-round-250.png
Burkina_Faso,Burkina Faso,https//cdn.countryflags.com/thumbs/burkina-faso/flag-400.png,https//cdn.countryflags.com/thumbs/burkina-faso/flag-square-250.png,https//cdn.countryflags.com/thumbs/burkina-faso/flag-round-250.png
North_Korea,North Korea,https//cdn.countryflags.com/thumbs/north-korea/flag-400.png,https//cdn.countryflags.com/thumbs/north-korea/flag-square-250.png,https//cdn.countryflags.com/thumbs/north-korea/flag-round-250.png
Equatorial_Guinea,Equatorial Guinea,https//cdn.countryflags.com/thumbs/equatorial-guinea/flag-400.png,https//cdn.countryflags.com/thumbs/equatorial-guinea/flag-square-250.png,https//cdn.countryflags.com/thumbs/equatorial-guinea/flag-round-250.png
South_Sudan,South Sudan,https//cdn.countryflags.com/thumbs/south-sudan/flag-400.png,https//cdn.countryflags.com/thumbs/south-sudan/flag-square-250.png,https//cdn.countryflags.com/thumbs/south-sudan/flag-round-250.png
Kosovo,Kosovo,https//cdn.countryflags.com/thumbs/kosovo/flag-400.png,https//cdn.countryflags.com/thumbs/kosovo/flag-square-250.png,https//cdn.countryflags.com/thumbs/kosovo/flag-round-250.png
China,China,https//cdn.countryflags.com/thumbs/china/flag-400.png,https//cdn.countryflags.com/thumbs/china/flag-square-250.png,https//cdn.countryflags.com/thumbs/china/flag-round-250.png
The_Maldives,The Maldives,https//cdn.countryflags.com/thumbs/maldives/flag-400.png,https//cdn.countryflags.com/thumbs/maldives/flag-square-250.png,https//cdn.countryflags.com/thumbs/maldives/flag-round-250.png
Uruguay,Uruguay,https//cdn.countryflags.com/thumbs/uruguay/flag-400.png,https//cdn.countryflags.com/thumbs/uruguay/flag-square-250.png,https//cdn.countryflags.com/thumbs/uruguay/flag-round-250.png
Burundi,Burundi,https//cdn.countryflags.com/thumbs/burundi/flag-400.png,https//cdn.countryflags.com/thumbs/burundi/flag-square-250.png,https//cdn.countryflags.com/thumbs/burundi/flag-round-250.png
Saint_Kitts_and_Nevis,Saint Kitts and Nevis,https//cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-400.png,https//cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-square-250.png,https//cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-round-250.png
